0	55911
1	32639
2	28872
3	24697
4	19033
5	10467
6	8442
7	6708
8	5244
9	3634
10	3180
11	3085
12	2174
13	1741
14	1617
15	1459
16	1172
17	1034
18	958
19	964
20	826
21	662
22	655
23	621
24	535
25	497
26	459
27	450
28	390
29	336
30	329
31	348
32	336
33	238
34	255
35	241
36	262
37	191
38	193
39	194
40	165
41	169
42	146
43	157
44	139
45	124
46	131
47	100
48	108
49	88
50	100
51	92
52	86
53	87
54	93
55	71
56	60
57	69
58	82
59	65
60	67
61	59
62	59
63	65
64	50
65	67
66	53
67	41
68	48
69	34
70	51
71	46
72	23
73	42
74	23
75	30
76	31
77	33
78	24
79	31
80	19
81	31
82	23
83	21
84	16
85	16
86	25
87	18
88	17
89	17
90	8
91	14
92	17
93	12
94	7
95	11
96	10
97	12
98	11
99	10
100	10
101	15
102	3
103	4
104	4
105	11
106	5
107	10
108	13
109	2
110	12
111	3
112	8
113	8
114	2
115	6
116	4
117	6
118	4
119	6
120	4
121	2
122	3
123	4
124	3
125	4
126	2
127	2
128	5
129	1
130	4
131	1
132	1
133	6
134	4
135	2
136	1
137	1
138	6
139	3
140	0
141	2
142	2
143	2
144	3
145	3
146	1
147	3
148	3
149	1
150	0
151	2
152	1
153	0
154	3
155	3
156	0
157	1
158	0
159	3
160	0
161	2
162	0
163	0
164	0
165	0
166	1
167	0
168	1
169	0
170	2
171	1
172	0
173	1
174	2
175	0
176	1
177	1
178	1
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	2
190	1
191	1
192	0
193	1
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	1
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
